ID,total_incurred_loss,risk_type,currency
0,11.6,A,EUR
1,8.5,A,USD
2,11.1,A,USD
3,10,A,USD
4,10,A,USD
5,12.3,A,USD
6,10.4,A,USD
7,72.1,A,CNY
8,9.3,A,USD
9,7.7,A,EUR
10,10.5,A,EUR
11,54.3,A,CNY
12,7.7,A,USD
13,63.1,A,CNY
14,9.8,A,USD
15,9.4,A,USD
16,13.9,A,USD
17,11.4,A,USD
18,49.6,A,CNY
19,8.1,A,EUR
20,55.6,A,CNY
21,77.7,A,CNY
22,70.4,A,CNY
23,61.7,A,CNY
24,11.2,A,USD
25,7.2,A,EUR
26,10.6,A,USD
27,9.4,A,USD
28,53.8,A,CNY
29,8.3,A,USD
30,9.8,A,USD
31,65,A,CNY
32,47.1,A,CNY
33,9.7,A,EUR
34,9.8,A,USD
35,9.2,A,EUR
36,8.5,A,EUR
37,7.5,A,USD
38,8.9,A,USD
39,11.5,A,USD
40,11.3,A,USD
41,10.4,A,EUR
42,8.4,A,EUR
43,6.1,A,EUR
44,12.7,A,USD
45,11.3,A,EUR
46,61.6,A,CNY
47,64.1,A,CNY
48,11.6,A,USD
49,57.4,A,CNY
50,7.6,A,EUR
51,8.2,A,EUR
52,10.4,A,EUR
53,71.5,A,CNY
54,7.1,A,EUR
55,7.9,A,USD
56,64.2,A,CNY
57,5.9,A,USD
58,63.6,A,CNY
59,88.4,A,CNY
60,9.7,A,USD
61,67.8,A,CNY
62,9.2,A,USD
63,10.2,A,EUR
64,59.5,A,CNY
65,9.1,A,USD
66,10.2,A,USD
67,9.6,A,USD
68,10.8,A,USD
69,11.2,A,USD
70,10.2,A,USD
71,8.2,A,USD
72,7.3,A,USD
73,51.2,A,CNY
74,84,A,CNY
75,8.8,A,EUR
76,9,A,EUR
77,9.7,A,USD
78,10.7,A,USD
79,7.3,A,USD
80,9.4,A,USD
81,9.5,A,USD
82,8.9,A,USD
83,6.2,A,EUR
84,9.6,A,EUR
85,9.3,A,USD
86,7.7,A,EUR
87,9.6,A,EUR
88,8.3,A,EUR
89,12.7,A,USD
90,64.7,A,CNY
91,11.9,A,USD
92,9.6,A,USD
93,6.8,A,EUR
94,8.2,A,EUR
95,9.8,A,USD
96,11.4,A,USD
97,10.4,A,EUR
98,79.6,A,CNY
99,10.4,A,USD
100,11.3,A,USD
101,7.7,A,EUR
102,9,A,EUR
103,6.7,A,EUR
104,7.4,A,USD
105,8.1,A,EUR
106,6.6,A,EUR
107,12.2,A,USD
108,45.7,A,CNY
109,57.5,A,CNY
110,80.6,A,CNY
111,84.6,A,CNY
112,11.1,A,USD
113,9.2,A,EUR
114,8.1,A,USD
115,68.2,A,CNY
116,6.3,A,EUR
117,9,A,EUR
118,8.6,A,USD
119,53.6,A,CNY
120,8.8,A,USD
121,8.4,A,USD
122,78.3,A,CNY
123,61.5,A,CNY
124,13.8,A,EUR
125,71.4,A,CNY
126,62,A,CNY
127,8.6,A,EUR
128,10,A,EUR
129,9.7,A,EUR
130,10.7,A,USD
131,86.7,A,CNY
132,9.3,A,USD
133,6.7,A,EUR
134,59.6,A,CNY
135,8.5,A,EUR
136,8,A,USD
137,9.4,A,USD
138,10.6,A,EUR
139,70.8,A,CNY
140,9.6,A,USD
141,11.9,A,USD
142,74.8,A,CNY
143,73.8,A,CNY
144,9.8,A,USD
145,75.1,A,CNY
146,77.5,A,CNY
147,9.8,A,EUR
148,12.7,A,USD
149,10.9,A,USD
150,9.7,A,USD
151,10.1,A,USD
152,9,A,USD
153,69.5,A,CNY
154,9.5,A,USD
155,10,A,USD
156,74.7,A,CNY
157,10.3,A,USD
158,9.5,A,USD
159,6.8,A,USD
160,9.5,A,USD
161,7.4,A,USD
162,9.7,A,USD
163,9.1,A,EUR
164,11.9,A,USD
165,10.8,A,USD
166,53.5,A,CNY
167,39.4,A,CNY
168,8.6,A,USD
169,10,A,USD
170,9.5,A,USD
171,81.9,A,CNY
172,10.3,A,USD
173,10.3,A,USD
174,62.3,A,CNY
175,8,A,EUR
176,12.1,A,USD
177,89,A,CNY
178,68.7,A,CNY
179,66,A,CNY
180,9.1,A,USD
181,6,A,USD
182,7.8,A,EUR
183,82.1,A,CNY
184,9.1,A,EUR
185,10.5,A,EUR
186,9.5,A,USD
187,67,A,CNY
188,11.8,A,USD
189,9.5,A,USD
190,10.6,A,EUR
191,53.7,A,CNY
192,8.5,A,USD
193,12.4,A,USD
194,80,A,CNY
195,9.4,A,USD
196,11.4,A,USD
197,7.7,A,EUR
198,12.7,A,USD
199,6.7,A,USD
200,8.6,A,EUR
201,9.4,A,USD
202,63.7,A,CNY
203,7.3,A,EUR
204,10.4,A,EUR
205,11.3,A,USD
206,9.2,A,EUR
207,10.6,A,USD
208,72.8,A,CNY
209,10.7,A,USD
210,64.3,A,CNY
211,7.9,A,EUR
212,8.8,A,EUR
213,60.4,A,CNY
214,15.5,A,USD
215,10.2,A,USD
216,9.7,A,USD
217,75.2,A,CNY
218,5.9,A,EUR
219,62.6,A,CNY
220,11.1,A,EUR
221,11,A,USD
222,71.7,A,CNY
223,9.6,A,USD
224,7.4,A,EUR
225,9.2,A,USD
226,9.1,A,USD
227,7.6,A,USD
228,9.6,A,USD
229,12.6,A,USD
230,11.1,A,USD
231,9.2,A,USD
232,72.4,A,CNY
233,8.5,A,USD
234,7,A,USD
235,7.3,A,EUR
236,8.8,A,EUR
237,12.1,A,USD
238,87.4,A,CNY
239,8.1,A,USD
240,8.8,A,EUR
241,10,A,EUR
242,7,A,USD
243,6.9,A,EUR
244,11,A,USD
245,9.6,A,USD
246,68.6,A,CNY
247,46.5,A,CNY
248,11.8,A,USD
249,8.8,A,USD
250,9,A,EUR
251,9.8,A,USD
252,8.8,A,USD
253,9,A,USD
254,11.3,A,USD
255,9.7,A,EUR
256,11,A,USD
257,61.9,A,CNY
258,9.8,A,USD
259,7.2,A,EUR
260,10.1,A,USD
261,83.8,A,CNY
262,52.3,A,CNY
263,7.7,A,EUR
264,82.8,A,CNY
265,10,A,USD
266,8.4,A,EUR
267,9.7,A,EUR
268,9.6,A,USD
269,9.3,A,USD
270,74.1,A,CNY
271,8.6,A,USD
272,10.4,A,EUR
273,8.5,A,EUR
274,11.6,A,EUR
275,10.2,A,USD
276,12.1,A,USD
277,10.3,A,USD
278,10.1,A,EUR
279,11.3,A,USD
280,10.1,A,USD
281,10.5,A,EUR
282,56.1,A,CNY
283,11.4,A,USD
284,66.5,A,CNY
285,8.5,A,USD
286,57.5,A,CNY
287,9.3,A,USD
288,80.3,A,CNY
289,72.5,A,CNY
290,8,A,EUR
291,73.1,A,CNY
292,8.4,A,USD
293,61.2,A,CNY
294,11,A,USD
295,11,A,USD
296,61.1,A,CNY
297,9.2,A,USD
298,10.7,A,USD
299,73,A,CNY
300,10.8,A,USD
301,10,A,USD
302,9,A,EUR
303,10.5,A,USD
304,12.2,A,USD
305,11.9,A,USD
306,77.3,A,CNY
307,9.7,A,EUR
308,9.2,A,USD
309,10.3,A,USD
310,8.4,A,EUR
311,52,A,CNY
312,11.8,A,USD
313,66.7,A,CNY
314,8.4,A,EUR
315,64.1,A,CNY
316,9.1,A,USD
317,55.5,A,CNY
318,10.7,A,USD
319,9,A,EUR
320,79.2,A,CNY
321,9.8,A,EUR
322,11.2,A,USD
323,11.5,A,USD
324,9.1,A,USD
325,85.8,A,CNY
326,12,A,USD
327,9.6,A,EUR
328,11,A,USD
329,9.1,A,USD
330,10.3,A,EUR
331,7.5,A,USD
332,9.8,A,USD
333,7.5,A,USD
334,8.9,A,USD
335,11.3,A,USD
336,7.3,A,USD
337,9.9,A,USD
338,14.5,A,USD
339,10.6,A,USD
340,11.7,A,USD
341,9.8,A,USD
342,61.8,A,CNY
343,60.5,A,CNY
344,6.8,A,EUR
345,6.9,A,EUR
346,9.4,A,EUR
347,7.9,A,USD
348,9,A,EUR
349,9.6,A,USD
350,73.7,A,CNY
351,8.6,A,USD
352,55.5,A,CNY
353,6.6,A,EUR
354,8.4,A,EUR
355,10.4,A,USD
356,6.5,A,EUR
357,8.8,A,USD
358,9.2,A,EUR
359,11.1,A,USD
360,73,A,CNY
361,12.4,A,USD
362,62.5,A,CNY
363,11.3,A,EUR
364,9.7,A,USD
365,71.1,A,CNY
366,11.6,A,USD
367,8.6,A,USD
368,10.1,A,USD
369,10.8,A,EUR
370,8.6,A,EUR
