ID,total_incurred_loss,risk_type,currency
10000,56.1,B,NOK
10001,8.34,B,USD
10002,7.65,B,USD
10003,17.5,B,USD
10004,5.62,B,USD
10005,7.09,B,USD
10006,9.2,B,USD
10007,88.46,B,CNY
10008,9.88,B,USD
10009,83.18,B,NOK
10010,76.6,B,NOK
10011,35.09,B,CNY
10012,14.2,B,USD
10013,71.63,B,CNY
10014,9.01,B,USD
10015,10.02,B,USD
10016,6.84,B,USD
10017,14.42,B,USD
10018,81.21,B,CNY
10019,66.84,B,NOK
10020,60.78,B,CNY
10021,57.15,B,CNY
10022,33.71,B,CNY
10023,67.27,B,CNY
10024,5.55,B,USD
10025,75.9,B,NOK
10026,31.51,B,USD
10027,6.85,B,USD
10028,76.17,B,CNY
10029,6.91,B,USD
10030,14.48,B,USD
10031,64.07,B,CNY
10032,50.87,B,CNY
10033,60.73,B,NOK
10034,7.24,B,USD
10035,121.94,B,NOK
10036,58.06,B,NOK
10037,4.97,B,USD
10038,12.39,B,USD
10039,14.09,B,USD
10040,12.07,B,USD
10041,69.13,B,NOK
10042,141.28,B,NOK
10043,51.91,B,NOK
10044,13.16,B,USD
10045,138.59,B,NOK
10046,88.88,B,CNY
10047,47.71,B,CNY
10048,14.85,B,USD
10049,93.69,B,CNY
10050,127.37,B,NOK
10051,74.72,B,NOK
10052,92.1,B,NOK
10053,85.19,B,CNY
10054,95.05,B,NOK
10055,6.19,B,USD
10056,138.02,B,CNY
10057,6.4,B,USD
10058,48.41,B,CNY
10059,213.77,B,CNY
10060,6.91,B,USD
10061,56.45,B,CNY
10062,10.15,B,USD
10063,128.52,B,NOK
10064,54.1,B,CNY
10065,4.35,B,USD
10066,8.32,B,USD
10067,7.85,B,USD
10068,7.04,B,USD
10069,6.95,B,USD
10070,11.61,B,USD
10071,6.55,B,USD
10072,8.21,B,USD
10073,24.39,B,CNY
10074,22.72,B,CNY
10075,63.93,B,NOK
10076,97.09,B,NOK
10077,14.27,B,USD
10078,8.99,B,USD
10079,6.78,B,USD
10080,14.18,B,USD
10081,8.21,B,USD
10082,7.39,B,USD
10083,147.55,B,NOK
10084,60.14,B,NOK
10085,10.94,B,USD
10086,107.13,B,NOK
10087,36.59,B,NOK
10088,93.95,B,NOK
10089,7.83,B,USD
10090,96.35,B,CNY
10091,14.13,B,USD
10092,8.19,B,USD
10093,48.39,B,NOK
10094,129.72,B,NOK
10095,7.77,B,USD
10096,8.24,B,USD
10097,143.75,B,NOK
10098,88.35,B,CNY
10099,4.38,B,USD
10100,6.86,B,USD
10101,140.52,B,NOK
10102,48.5,B,NOK
10103,84,B,NOK
10104,7.25,B,USD
10105,168.68,B,NOK
10106,142,B,NOK
10107,11.12,B,USD
10108,84.42,B,CNY
10109,48.94,B,CNY
10110,56.5,B,CNY
10111,36.07,B,CNY
10112,15.48,B,USD
10113,108.08,B,NOK
10114,15.43,B,USD
10115,93.35,B,CNY
10116,90.88,B,NOK
10117,64.84,B,NOK
10118,9.61,B,USD
10119,84.9,B,CNY
10120,11.85,B,USD
10121,9.91,B,USD
10122,119.85,B,CNY
10123,66.82,B,CNY
10124,38.47,B,NOK
10125,69.29,B,CNY
10126,61.5,B,CNY
10127,35.03,B,NOK
10128,56.44,B,NOK
10129,59.05,B,NOK
10130,17.48,B,USD
10131,100.81,B,CNY
10132,10.9,B,USD
10133,145.19,B,NOK
10134,117.57,B,CNY
10135,79.97,B,NOK
10136,4.84,B,USD
10137,7.79,B,USD
10138,78.83,B,NOK
10139,28.66,B,CNY
10140,6.73,B,USD
10141,12.94,B,USD
10142,67.17,B,CNY
10143,33.87,B,CNY
10144,5.85,B,USD
10145,57.02,B,CNY
10146,73.74,B,CNY
10147,172.18,B,NOK
10148,20.29,B,USD
10149,10.52,B,USD
10150,17.09,B,USD
10151,4.68,B,USD
10152,7.45,B,USD
10153,50.48,B,CNY
10154,8.57,B,USD
10155,12.83,B,USD
10156,68.48,B,CNY
10157,6.08,B,USD
10158,9.57,B,USD
10159,6.1,B,USD
10160,14.92,B,USD
10161,6.89,B,USD
10162,3.98,B,USD
10163,64.61,B,NOK
10164,8.82,B,USD
10165,14.26,B,USD
10166,33.97,B,CNY
10167,87.03,B,CNY
10168,6.72,B,USD
10169,7.2,B,USD
10170,11.26,B,USD
10171,94.54,B,CNY
10172,8.41,B,USD
10173,4.69,B,USD
10174,28.69,B,CNY
10175,162.59,B,NOK
10176,10.2,B,USD
10177,84.27,B,CNY
10178,47.22,B,CNY
10179,33.59,B,CNY
10180,6.55,B,USD
10181,13.27,B,USD
10182,89.38,B,NOK
10183,40.77,B,CNY
10184,89.47,B,NOK
10185,37.79,B,NOK
10186,11,B,USD
10187,64.74,B,CNY
10188,18.8,B,USD
10189,12.35,B,USD
10190,126.97,B,NOK
10191,158.5,B,CNY
10192,7.22,B,USD
10193,5.28,B,USD
10194,29.06,B,CNY
10195,10.31,B,USD
10196,7.23,B,USD
10197,101.33,B,NOK
10198,10.18,B,USD
10199,7.36,B,USD
10200,71.73,B,NOK
10201,10.24,B,USD
10202,56.49,B,CNY
10203,43.14,B,NOK
10204,75.62,B,NOK
10205,8.05,B,USD
10206,64.01,B,NOK
10207,14.06,B,USD
10208,33.46,B,CNY
10209,9.7,B,USD
10210,69.21,B,CNY
10211,69.65,B,NOK
10212,43.55,B,NOK
10213,34.29,B,CNY
10214,6.89,B,USD
10215,8.01,B,USD
10216,10.59,B,USD
10217,63.86,B,CNY
10218,188.94,B,NOK
10219,42.22,B,CNY
10220,99.25,B,NOK
10221,3.65,B,USD
10222,105.96,B,CNY
10223,5.51,B,USD
10224,45.87,B,NOK
10225,15.83,B,USD
10226,4.47,B,USD
10227,14.48,B,USD
10228,12.94,B,USD
10229,5.61,B,USD
10230,7.47,B,USD
10231,6.15,B,USD
10232,54.17,B,CNY
10233,7.64,B,USD
10234,6.73,B,USD
10235,51.3,B,NOK
10236,165.42,B,NOK
10237,7.1,B,USD
10238,75.98,B,CNY
10239,21.48,B,USD
10240,57.69,B,NOK
10241,95.64,B,NOK
10242,13.68,B,USD
10243,101.24,B,NOK
10244,13.8,B,USD
10245,12.51,B,USD
10246,72.05,B,CNY
10247,39.25,B,CNY
10248,3.7,B,USD
10249,16.3,B,USD
10250,87.54,B,NOK
10251,12.42,B,USD
10252,7.84,B,USD
