ID,premium,risk_type,currency
0,12,A,EUR
1,11,A,USD
2,12.5,A,USD
3,13.5,A,USD
4,11.3,A,USD
5,10.9,A,USD
6,12.6,A,USD
7,95.7,A,CNY
8,11.7,A,USD
9,10.5,A,EUR
10,10.8,A,EUR
11,73.5,A,CNY
12,12.9,A,USD
13,87,A,CNY
14,14.3,A,USD
15,12.9,A,USD
16,12.4,A,USD
17,11.8,A,USD
18,92.9,A,CNY
19,11.8,A,EUR
20,101.3,A,CNY
21,75.3,A,CNY
22,106.3,A,CNY
23,95.2,A,CNY
24,12.5,A,USD
25,10.5,A,EUR
26,14.2,A,USD
27,13.4,A,USD
28,83.1,A,CNY
29,15.1,A,USD
30,12.8,A,USD
31,91.7,A,CNY
32,97.5,A,CNY
33,12.6,A,EUR
34,11.6,A,USD
35,10.9,A,EUR
36,10.6,A,EUR
37,14.1,A,USD
38,15.2,A,USD
39,13.4,A,USD
40,13.4,A,USD
41,12.7,A,EUR
42,11.1,A,EUR
43,11.7,A,EUR
44,11.2,A,USD
45,12.2,A,EUR
46,79.5,A,CNY
47,92.5,A,CNY
48,11.8,A,USD
49,90.6,A,CNY
50,10.8,A,EUR
51,10.2,A,EUR
52,10.4,A,EUR
53,76.3,A,CNY
54,10.5,A,EUR
55,13.8,A,USD
56,82,A,CNY
57,12.6,A,USD
58,80.6,A,CNY
59,76.7,A,CNY
60,11,A,USD
61,90.7,A,CNY
62,12.7,A,USD
63,11.1,A,EUR
64,90.2,A,CNY
65,11.7,A,USD
66,13.2,A,USD
67,11.5,A,USD
68,12.5,A,USD
69,14.1,A,USD
70,13.1,A,USD
71,14.7,A,USD
72,15,A,USD
73,85.9,A,CNY
74,96.6,A,CNY
75,10.7,A,EUR
76,11.1,A,EUR
77,14.7,A,USD
78,12.7,A,USD
79,13.3,A,USD
80,9.9,A,USD
81,12.9,A,USD
82,13,A,USD
83,10.9,A,EUR
84,13.5,A,EUR
85,12.2,A,USD
86,12.7,A,EUR
87,10.8,A,EUR
88,9,A,EUR
89,12.6,A,USD
90,69.9,A,CNY
91,13.6,A,USD
92,13.7,A,USD
93,12.5,A,EUR
94,10.7,A,EUR
95,14.7,A,USD
96,12.7,A,USD
97,11.3,A,EUR
98,85.8,A,CNY
99,12.9,A,USD
100,15.5,A,USD
101,10.7,A,EUR
102,12.3,A,EUR
103,12.3,A,EUR
104,11.9,A,USD
105,11.4,A,EUR
106,12.6,A,EUR
107,13.3,A,USD
108,89.2,A,CNY
109,82.7,A,CNY
110,94.9,A,CNY
111,85.2,A,CNY
112,11.6,A,USD
113,11.9,A,EUR
114,13,A,USD
115,79,A,CNY
116,12,A,EUR
117,13.5,A,EUR
118,14.5,A,USD
119,76.6,A,CNY
120,11.8,A,USD
121,10.7,A,USD
122,78.6,A,CNY
123,92.6,A,CNY
124,11.5,A,EUR
125,101.4,A,CNY
126,102.9,A,CNY
127,11.7,A,EUR
128,9.3,A,EUR
129,11.4,A,EUR
130,12.4,A,USD
131,87.5,A,CNY
132,12.5,A,USD
133,12,A,EUR
134,89.6,A,CNY
135,13,A,EUR
136,12.1,A,USD
137,12,A,USD
138,11.5,A,EUR
139,89.5,A,CNY
140,14.7,A,USD
141,14.7,A,USD
142,111.7,A,CNY
143,102.4,A,CNY
144,14,A,USD
145,93.8,A,CNY
146,93.4,A,CNY
147,14.5,A,EUR
148,12.8,A,USD
149,13.9,A,USD
150,15,A,USD
151,12,A,USD
152,14.2,A,USD
153,87.7,A,CNY
154,12.8,A,USD
155,14.5,A,USD
156,103.1,A,CNY
157,13.5,A,USD
158,11.4,A,USD
159,15,A,USD
160,12,A,USD
161,15.2,A,USD
162,13.1,A,USD
163,9.6,A,EUR
164,13.7,A,USD
165,12.5,A,USD
166,82.7,A,CNY
167,79.5,A,CNY
168,14.6,A,USD
169,11.2,A,USD
170,11.7,A,USD
171,86.7,A,CNY
172,13.2,A,USD
173,13.2,A,USD
174,94.5,A,CNY
175,10.7,A,EUR
176,13.7,A,USD
177,81.1,A,CNY
178,91.5,A,CNY
179,91.5,A,CNY
180,12.3,A,USD
181,11.9,A,USD
182,12,A,EUR
183,85.5,A,CNY
184,11.1,A,EUR
185,11.3,A,EUR
186,13.3,A,USD
187,95.5,A,CNY
188,13.9,A,USD
189,13.4,A,USD
190,10.5,A,EUR
191,81.3,A,CNY
192,13.3,A,USD
193,12.7,A,USD
194,90.1,A,CNY
195,13.1,A,USD
196,11.8,A,USD
197,11.5,A,EUR
198,12.4,A,USD
199,12.1,A,USD
200,9.7,A,EUR
201,13.5,A,USD
202,94,A,CNY
203,11.1,A,EUR
204,11.6,A,EUR
205,13.1,A,USD
206,10.1,A,EUR
207,11.9,A,USD
208,84,A,CNY
209,14.2,A,USD
210,90.4,A,CNY
211,11.7,A,EUR
212,11.1,A,EUR
213,89.8,A,CNY
214,13.9,A,USD
215,13.5,A,USD
216,13.5,A,USD
217,94.2,A,CNY
218,12.9,A,EUR
219,100.1,A,CNY
220,11.5,A,EUR
221,12.3,A,USD
222,98.3,A,CNY
223,11.7,A,USD
224,11.7,A,EUR
225,14.6,A,USD
226,14.4,A,USD
227,13.4,A,USD
228,13.9,A,USD
229,11.9,A,USD
230,13.7,A,USD
231,13.4,A,USD
232,105.9,A,CNY
233,12.8,A,USD
234,12,A,USD
235,11.5,A,EUR
236,12.3,A,EUR
237,13,A,USD
238,69.1,A,CNY
239,10.5,A,USD
240,11.7,A,EUR
241,11.4,A,EUR
242,14.3,A,USD
243,11.8,A,EUR
244,12.7,A,USD
245,13.1,A,USD
246,94.5,A,CNY
247,88,A,CNY
248,11,A,USD
249,12.7,A,USD
250,11.3,A,EUR
251,14.4,A,USD
252,11.7,A,USD
253,14.1,A,USD
254,9.9,A,USD
255,10.6,A,EUR
256,13.8,A,USD
257,87.2,A,CNY
258,13.2,A,USD
259,11.4,A,EUR
260,15,A,USD
261,77.1,A,CNY
262,91,A,CNY
263,11.3,A,EUR
264,84.8,A,CNY
265,10.9,A,USD
266,11.7,A,EUR
267,12.3,A,EUR
268,11.9,A,USD
269,14.5,A,USD
270,88.6,A,CNY
271,15.3,A,USD
272,12,A,EUR
273,11.4,A,EUR
274,13,A,EUR
275,10.9,A,USD
276,10.9,A,USD
277,12.2,A,USD
278,11.7,A,EUR
279,12.8,A,USD
280,11.5,A,USD
281,8.8,A,EUR
282,87.6,A,CNY
283,13.6,A,USD
284,85.2,A,CNY
285,12.3,A,USD
286,102.7,A,CNY
287,12.7,A,USD
288,86.6,A,CNY
289,89.9,A,CNY
290,11.2,A,EUR
291,78.6,A,CNY
292,13.3,A,USD
293,96.7,A,CNY
294,13.1,A,USD
295,14.1,A,USD
296,94.8,A,CNY
297,15.8,A,USD
298,12,A,USD
299,97.1,A,CNY
300,14,A,USD
301,12.4,A,USD
302,12.3,A,EUR
303,14.1,A,USD
304,13.3,A,USD
305,13.2,A,USD
306,89.9,A,CNY
307,12,A,EUR
308,13.2,A,USD
309,12.7,A,USD
310,12,A,EUR
311,79.7,A,CNY
312,13.1,A,USD
313,90.1,A,CNY
314,13,A,EUR
315,82.7,A,CNY
316,14.7,A,USD
317,82.8,A,CNY
318,14.7,A,USD
319,10.9,A,EUR
320,87.1,A,CNY
321,10.5,A,EUR
322,17.1,A,USD
323,13.3,A,USD
324,13.2,A,USD
325,99,A,CNY
326,13.3,A,USD
327,9.8,A,EUR
328,14.3,A,USD
329,15.3,A,USD
330,12.6,A,EUR
331,13.1,A,USD
332,14.1,A,USD
333,13.9,A,USD
334,13.1,A,USD
335,13.9,A,USD
336,12.6,A,USD
337,12.9,A,USD
338,13.8,A,USD
339,12.5,A,USD
340,13.3,A,USD
341,13.3,A,USD
342,75.9,A,CNY
343,97.2,A,CNY
344,10.2,A,EUR
345,10.9,A,EUR
346,10.7,A,EUR
347,12.7,A,USD
348,11,A,EUR
349,12.1,A,USD
350,87.6,A,CNY
351,13.5,A,USD
352,100.9,A,CNY
353,10.4,A,EUR
354,11.9,A,EUR
355,14.4,A,USD
356,11.6,A,EUR
357,13.6,A,USD
358,11.5,A,EUR
359,14.7,A,USD
360,75.1,A,CNY
361,13.2,A,USD
362,85.9,A,CNY
363,12.2,A,EUR
364,12.6,A,USD
365,89.9,A,CNY
366,12.6,A,USD
367,12.6,A,USD
368,12.8,A,USD
369,12.8,A,EUR
370,10.3,A,EUR
371,87.2,A,CNY
372,13.7,A,USD
373,13.6,A,USD
374,12.1,A,EUR
375,91.8,A,CNY
376,78.9,A,CNY
377,94.6,A,CNY
378,9.7,A,EUR
379,12.5,A,USD
380,12.8,A,USD
381,11.5,A,USD
382,12,A,USD
383,11.6,A,USD
384,81.6,A,CNY
385,11.7,A,EUR
386,78.9,A,CNY
387,91.3,A,CNY
388,10.8,A,EUR
389,10.2,A,EUR
390,104.5,A,CNY
391,12.9,A,USD
392,90.3,A,CNY
393,11.4,A,USD
394,85.2,A,CNY
395,13.8,A,USD
396,83.1,A,CNY
397,12.3,A,USD
398,12.4,A,USD
399,12.8,A,USD
400,12.4,A,USD
401,13.2,A,USD
402,13.4,A,USD
403,86.1,A,CNY
404,12.4,A,USD
405,12.4,A,USD
406,13.1,A,EUR
407,12.5,A,USD
408,11.5,A,USD
409,14.9,A,USD
410,11.2,A,EUR
411,12.5,A,USD
412,13.7,A,USD
413,11.3,A,EUR
414,14.6,A,USD
415,10.8,A,USD
416,11.9,A,USD
417,88.5,A,CNY
418,11.8,A,EUR
419,12.2,A,EUR
420,89.4,A,CNY
421,13.6,A,USD
422,80.8,A,CNY
423,86.5,A,CNY
424,12.6,A,EUR
425,13.8,A,USD
426,78.5,A,CNY
427,13.4,A,USD
428,99.1,A,CNY
429,14.1,A,USD
430,9.2,A,USD
431,12.1,A,USD
432,12.1,A,USD
433,13.4,A,USD
434,88.1,A,CNY
435,94.4,A,CNY
436,99.4,A,CNY
437,12.5,A,EUR
438,96.8,A,CNY
439,11.4,A,EUR
440,12.8,A,USD
441,70.8,A,CNY
442,14.6,A,USD
443,11.6,A,USD
