ID,premium,risk_type,total_incurred_loss
0,10.8,A,10.44
1,11.0,A,8.5
2,12.5,A,11.1
3,13.5,A,10.0
4,11.3,A,10.0
5,10.9,A,12.3
6,12.6,A,10.4
7,650.76,A,490.28
8,11.7,A,9.3
9,9.45,A,6.93
10,9.72,A,9.45
11,499.8,A,369.24
12,12.9,A,7.7
13,591.6,A,429.08
14,14.3,A,9.8
15,12.9,A,9.4
16,12.4,A,13.9
17,11.8,A,11.4
18,631.72,A,337.28
19,10.62,A,7.29
20,688.84,A,378.08
21,512.04,A,528.36
22,722.84,A,478.72
23,647.36,A,419.56
24,12.5,A,11.2
25,9.45,A,6.48
26,14.2,A,10.6
27,13.4,A,9.4
28,565.08,A,365.84
29,15.1,A,8.3
30,12.8,A,9.8
31,623.56,A,442.0
32,663.0,A,320.28
33,11.34,A,8.73
34,11.6,A,9.8
35,9.81,A,8.28
36,9.54,A,7.65
37,14.1,A,7.5
38,15.2,A,8.9
39,13.4,A,11.5
40,13.4,A,11.3
41,11.43,A,9.36
42,9.99,A,7.56
43,10.53,A,5.49
44,11.2,A,12.7
45,10.98,A,10.17
46,540.6,A,418.88
47,629.0,A,435.88
48,11.8,A,11.6
49,616.08,A,390.32
50,9.72,A,6.84
51,9.18,A,7.38
52,9.36,A,9.36
53,518.84,A,486.2
54,9.45,A,6.39
55,13.8,A,7.9
56,557.6,A,436.56
57,12.6,A,5.9
58,548.08,A,432.48
59,521.56,A,601.12
60,11.0,A,9.7
61,616.76,A,461.04
62,12.7,A,9.2
63,9.99,A,9.18
64,613.36,A,404.6
65,11.7,A,9.1
66,13.2,A,10.2
67,11.5,A,9.6
68,12.5,A,10.8
69,14.1,A,11.2
70,13.1,A,10.2
71,14.7,A,8.2
72,15.0,A,7.3
73,584.12,A,348.16
74,656.88,A,571.2
75,9.63,A,7.92
76,9.99,A,8.1
77,14.7,A,9.7
78,12.7,A,10.7
79,13.3,A,7.3
80,9.9,A,9.4
81,12.9,A,9.5
82,13.0,A,8.9
83,9.81,A,5.58
84,12.15,A,8.64
85,12.2,A,9.3
86,11.43,A,6.93
87,9.72,A,8.64
88,8.1,A,7.47
89,12.6,A,12.7
90,475.32,A,439.96
91,13.6,A,11.9
92,13.7,A,9.6
93,11.25,A,6.12
94,9.63,A,7.38
95,14.7,A,9.8
96,12.7,A,11.4
97,10.17,A,9.36
98,583.44,A,541.28
99,12.9,A,10.4
100,15.5,A,11.3
101,9.63,A,6.93
102,11.07,A,8.1
103,11.07,A,6.03
104,11.9,A,7.4
105,10.26,A,7.29
106,11.34,A,5.94
107,13.3,A,12.2
108,606.56,A,310.76
109,562.36,A,391.0
110,645.32,A,548.08
111,579.36,A,575.28
112,11.6,A,11.1
113,10.71,A,8.28
114,13.0,A,8.1
115,537.2,A,463.76
116,10.8,A,5.67
117,12.15,A,8.1
118,14.5,A,8.6
119,520.88,A,364.48
120,11.8,A,8.8
121,10.7,A,8.4
122,534.48,A,532.44
123,629.68,A,418.2
124,10.35,A,12.42
125,689.52,A,485.52
126,699.72,A,421.6
127,10.53,A,7.74
128,8.37,A,9.0
129,10.26,A,8.73
130,12.4,A,10.7
131,595.0,A,589.56
132,12.5,A,9.3
133,10.8,A,6.03
134,609.28,A,405.28
135,11.7,A,7.65
136,12.1,A,8.0
137,12.0,A,9.4
138,10.35,A,9.54
139,608.6,A,481.44
140,14.7,A,9.6
141,14.7,A,11.9
142,759.56,A,508.64
143,696.32,A,501.84
144,14.0,A,9.8
145,637.84,A,510.68
146,635.12,A,527.0
147,13.05,A,8.82
148,12.8,A,12.7
149,13.9,A,10.9
150,15.0,A,9.7
151,12.0,A,10.1
152,14.2,A,9.0
153,596.36,A,472.6
154,12.8,A,9.5
155,14.5,A,10.0
156,701.08,A,507.96
157,13.5,A,10.3
158,11.4,A,9.5
159,15.0,A,6.8
160,12.0,A,9.5
161,15.2,A,7.4
162,13.1,A,9.7
163,8.64,A,8.19
164,13.7,A,11.9
165,12.5,A,10.8
166,562.36,A,363.8
167,540.6,A,267.92
168,14.6,A,8.6
169,11.2,A,10.0
170,11.7,A,9.5
171,589.56,A,556.92
172,13.2,A,10.3
173,13.2,A,10.3
174,642.6,A,423.64
175,9.63,A,7.2
176,13.7,A,12.1
177,551.48,A,605.2
178,622.2,A,467.16
179,622.2,A,448.8
180,12.3,A,9.1
181,11.9,A,6.0
182,10.8,A,7.02
183,581.4,A,558.28
184,9.99,A,8.19
185,10.17,A,9.45
186,13.3,A,9.5
187,649.4,A,455.6
188,13.9,A,11.8
189,13.4,A,9.5
190,9.45,A,9.54
191,552.84,A,365.16
192,13.3,A,8.5
193,12.7,A,12.4
194,612.68,A,544.0
195,13.1,A,9.4
196,11.8,A,11.4
197,10.35,A,6.93
198,12.4,A,12.7
199,12.1,A,6.7
200,8.73,A,7.74
201,13.5,A,9.4
202,639.2,A,433.16
203,9.99,A,6.57
204,10.44,A,9.36
205,13.1,A,11.3
206,9.09,A,8.28
207,11.9,A,10.6
208,571.2,A,495.04
209,14.2,A,10.7
210,614.72,A,437.24
211,10.53,A,7.11
212,9.99,A,7.92
213,610.64,A,410.72
214,13.9,A,15.5
215,13.5,A,10.2
216,13.5,A,9.7
217,640.56,A,511.36
218,11.61,A,5.31
219,680.68,A,425.68
220,10.35,A,9.99
221,12.3,A,11.0
222,668.44,A,487.56
223,11.7,A,9.6
224,10.53,A,6.66
225,14.6,A,9.2
226,14.4,A,9.1
227,13.4,A,7.6
228,13.9,A,9.6
229,11.9,A,12.6
230,13.7,A,11.1
231,13.4,A,9.2
232,720.12,A,492.32
233,12.8,A,8.5
234,12.0,A,7.0
235,10.35,A,6.57
236,11.07,A,7.92
237,13.0,A,12.1
238,469.88,A,594.32
239,10.5,A,8.1
240,10.53,A,7.92
241,10.26,A,9.0
242,14.3,A,7.0
243,10.62,A,6.21
244,12.7,A,11.0
245,13.1,A,9.6
246,642.6,A,466.48
247,598.4,A,316.2
248,11.0,A,11.8
249,12.7,A,8.8
250,10.17,A,8.1
251,14.4,A,9.8
252,11.7,A,8.8
253,14.1,A,9.0
254,9.9,A,11.3
255,9.54,A,8.73
256,13.8,A,11.0
257,592.96,A,420.92
258,13.2,A,9.8
